Actor Id,Actors,Movies,Rating,Rank,Hits,Google Rank
481,Neha Dhupia,17,550,2.208440065,452000,2.162630081
482,Irrfan Khan,21,780,2.677020073,268000,1.687950015
483,Revathy,5,270,4.326089859,0,NULL
484,Girish Karnad,5,270,4.326089859,0,NULL
485,Fardeen Khan,17,660,2.841429949,180000,1.46092999
486,Mahesh Manjrekar,12,500,3.119570017,57800,1.145679951
487,Shakti Kapoor,13,370,1.827759981,549000,2.41286993
488,Shiney Ahuja,9,350,2.847830057,149000,1.380959988
489,Lillete Dubey,7,370,4.214290142,0,NULL
490,Shreyas Talpade,12,480,2.956520081,84800,1.215330005
491,Minissha Lamba,10,340,2.369570017,310000,1.796300054
492,Jimmy Shergill,20,740,2.663039923,192000,1.491889954
493,Manisha Koirala,15,460,2.043479919,430000,2.105870008
494,Atul Kulkarni,8,310,2.83423996,109000,1.277760029
495,Amrita Arora,10,350,2.46739006,238000,1.61056006
496,Neil Nitin Mukesh,8,290,2.589669943,184000,1.471250057
497,Rajat Kapoor,11,370,2.333990097,278000,1.713750005
498,Aftab Shivdasani,22,830,2.734189987,117000,1.298400044
499,Ashmit Patel,6,230,2.793479919,92500,1.235200047
500,Dimple Kapadia,11,370,2.333990097,267000,1.685369968
501,Urmila Matondkar,9,300,2.304349899,262000,1.672469974
502,Danny Denzongpa,4,200,3.934779882,0,NULL
503,Ahsaas Channa,4,200,3.934779882,0,NULL
504,Prem Chopra,9,210,1.326089978,610000,2.570230007
505,Sushant Singh,9,240,1.652169943,471000,2.211649895
506,Rahul Dev,9,210,1.326089978,595000,2.531539917
507,Kay Kay Menon,22,750,2.37845993,185000,1.473829985
508,Darshan Jariwala,7,270,2.816770077,14300,1.033460021
509,Antara Mali,6,190,2.141299963,271000,1.695690036
510,Jackie Shroff,25,740,1.939129949,349000,1.896909952
511,Vrajesh Hirjee,8,300,2.711960077,12300,1.028300047
512,Vicky Ahuja,5,240,3.73913002,0,NULL
513,Sandhya Mridul,5,240,3.73913002,0,NULL
514,Arbaaz Khan,17,530,2.093349934,235000,1.602820039
515,Prachi Desai,4,190,3.690220118,0,NULL
516,Ali Zafar,4,190,3.690220118,0,NULL
517,Udita Goswami,9,280,2.086960077,229000,1.587339997
518,Rana Jung Bahadur,5,180,2.565220118,38100,1.094859958
519,Abhay Deol,11,350,2.156130075,193000,1.49447
520,Neetu Chandra,8,260,2.222830057,165000,1.422230005
521,Sanjay Mishra,6,160,1.652169943,377000,1.969149947
522,Priyanshu Chatterjee,7,250,2.537270069,24500,1.059769988
523,Raveena Tandon,15,340,1.26086998,509000,2.309679985
524,Alok Nath,5,230,3.543479919,0,NULL
525,Mahie Gill,7,230,2.257760048,111000,1.282920003
526,Sharat Saxena,10,350,2.46739006,28100,1.069059968
527,Mithun Chakraborty,23,720,2.105859995,160000,1.40933001
528,Bobby Deol,24,710,1.9375,221000,1.566699982
529,Tinnu Anand,11,380,2.422919989,14500,1.033980012
530,Manjari Phadnis,4,180,3.445650101,0,NULL
531,Kunal Kapoor,4,180,3.445650101,0,NULL
532,Ayub Khan,4,180,3.445650101,0,NULL
533,Kashmira Shah,4,180,3.445650101,0,NULL
534,Deepak Dobriyal,7,240,2.397520065,13500,1.031399965
535,Rajpal Yadav,17,540,2.150899887,105000,1.267449975
536,Divya Dutta,16,380,1.366850019,408000,2.049119949
537,Rajat Bedi,9,300,2.304349899,34700,1.086089969
538,Rahul Bose,9,230,1.543480039,302000,1.775660038
539,Parvin Dabas,10,330,2.27173996,17900,1.042750001
540,Asrani,13,380,1.903010011,157000,1.40158999
541,Raghuvir Yadav,7,230,2.257760048,17300,1.041200042
542,Avtar Gill,10,320,2.173909903,46700,1.117040038
543,Aashish Chaudhary,9,290,2.195650101,28900,1.071120024
544,Laxmikant Berde,5,160,2.173909903,29100,1.071640015
545,Nandita Das,6,140,1.326089978,341000,1.876270056
546,Mukesh Tiwari,8,220,1.733700037,168000,1.429970026
547,Mahima Chaudhry,11,330,1.97826004,72600,1.183859944
548,Shahana Goswami,5,210,3.152169943,0,NULL
549,Tara Sharma,5,210,3.152169943,0,NULL
550,Smita Jaykar,5,210,3.152169943,0,NULL
551,Gulshan Grover,33,950,1.859680057,101000,1.257130027
552,Vidya Malvade,8,230,1.855980039,101000,1.257130027
553,Yashpal Sharma,10,300,1.97826004,43200,1.108019948
554,Manoj Bajpayee,20,540,1.684780002,154000,1.393849969
555,Ashutosh Rana,14,400,1.838510036,90700,1.230550051
556,Ravi Kishan,9,230,1.543480039,195000,1.499629974
557,Nafisa Ali,4,160,2.956520081,0,NULL
